timestamp,vault id1,"failures1 ([modelA, serialA, ...])",vault id2,"failures2 ([modelA, serialA, ...])",vault id3,"failures3 ([modelA, serialA, ...])",vault id4,"failures4 ([modelA, serialA, ...])",vault id5,"failures5 ([modelA, serialA, ...])",vault id6,"failures6 ([modelA, serialA, ...])",vault id7,"failures7 ([modelA, serialA, ...])",vault id8,"failures8 ([modelA, serialA, ...])",vault id9,"failures9 ([modelA, serialA, ...])",vault id10,"failures10 ([modelA, serialA, ...])"
2023-04-11T00:00:00.000000,1090,"3 ([ST8000NM0055, ZA16LXLR, ST8000NM0055, ZA1817P7, ST8000NM0055, ZA180AYP])",1040,"3 ([ST8000NM0055, ZA14EBJF, ST8000NM0055, ZA175P5X, ST8000NM0055, ZA14C9LL])",1093,"2 ([ST10000NM0086, ZA21A5HF, ST10000NM0086, ZA21E7P8])",1036,"2 ([ST8000DM002, ZA13M2L3, TOSHIBA HDWF180, Y76GK0MAFZ1D])",1092,"2 ([ST8000NM0055, ZA189X7V, ST8000NM0055, ZA18BTCZ])",1066,"1 ([TOSHIBA MG07ACA14TA, X8G0A0ADF97G])",1051,"1 ([HGST HMS5C4040BLE640, PL2331LAHDSD3J])",1006,"1 ([ST4000DM000, Z302B1H2])",1017,"1 ([ST4000DM000, Z3055BMN])",1050,"1 ([HGST HMS5C4040BLE640, PL2331LAHBUGBJ])"
2023-04-12T00:00:00.000000,1113,"3 ([HGST HUH721212ALN604, 8HK762XH, HGST HUH721212ALN604, 8HK20G0H, HGST HUH721212ALN604, 8HK28HBH])",1096,"2 ([HGST HUH728080ALE600, VKH8WTSX, HGST HUH728080ALE600, VKH9STYX])",1105,"1 ([HGST HUH721212ALE604, 8HGUBD9Y])",1041,"1 ([ST8000NM0055, ZA171SAL])",1043,"1 ([ST8000NM0055, ZA12Z0QN])",1003,"1 ([ST4000DM000, S30115KF])",1039,"1 ([ST8000NM0055, ZA16DQ6Y])",1055,"1 ([ST8000NM0055, ZA18179R])",1114,"1 ([ST12000NM0008, ZL004QVH])",1120,"1 ([HGST HUH721212ALN604, 8HKNS1VH])"
2023-04-13T00:00:00.000000,1035,"1 ([ST8000DM002, ZA12Q5VF])",1010,"1 ([ST4000DM000, Z304KD3L])",1407,"1 ([CT250MX500SSD1, 2140E5D8CF4D])",1065,"1 ([ST12000NM0008, ZHZ4XH67])",1054,"1 ([ST8000NM0055, ZA180Q92])",0,,0,,0,,0,,0,
2023-04-14T00:00:00.000000,1120,"4 ([HGST HUH721212ALN604, AAG7MV8H, HGST HUH721212ALN604, AAG61UGH, HGST HUH721212ALN604, AAG63X6H, HGST HUH721212ALN604, 8HK2AUVH])",1124,"2 ([HGST HUH721212ALE604, 5QJBA8HB, HGST HUH721212ALN604, 2AGMLTVY])",1161,"2 ([ST16000NM001G, ZL22YSA8, ST16000NM001G, ZL23XGFZ])",1128,"2 ([ST12000NM0007, ZJV4X5CG, ST12000NM0007, ZJV40T0M])",1020,"1 ([ST4000DM000, Z305GWCD])",1044,"1 ([ST8000NM0055, ZA1819MD])",1074,"1 ([TOSHIBA MG07ACA14TA, 40N0A04KF97G])",3001,"1 ([WDC WUH721816ALE6L4, 2CKHRZTN])",1040,"1 ([ST8000NM0055, ZA14ECR1])",1166,"1 ([HGST HUH721212ALE604, 8DJ3PRAY])"
2023-04-15T00:00:00.000000,1118,"2 ([HGST HUH721212ALN604, 8HKHPDLH, HGST HUH721212ALN604, AAG6TK8H])",1113,"2 ([HGST HUH721212ALN604, 8HJY7GDH, HGST HUH721212ALN604, 8HK68T0H])",1092,"1 ([ST10000NM0086, ZA20ZNG9])",1153,"1 ([ST14000NM0138, ZHZ3D26Q])",1053,"1 ([ST8000NM0055, ZA171BW4])",1052,"1 ([HGST HMS5C4040BLE640, PL2331LAHDG17J])",1054,"1 ([ST8000NM0055, ZA180YXL])",1142,"1 ([ST12000NM001G, ZLW0EGAK])",1105,"1 ([HGST HUH721212ALE604, 8DJ0LA7H])",0,
2023-04-16T00:00:00.000000,1016,"1 ([ST4000DM000, Z304KBT8])",0,,0,,0,,0,,0,,0,,0,,0,,0,
2023-04-17T00:00:00.000000,1113,"2 ([HGST HUH721212ALN604, 8HK3HDNH, HGST HUH721212ALN604, 8HJZE7BH])",1066,"2 ([TOSHIBA MG07ACA14TA, 88X0A06MF97G, TOSHIBA MG07ACA14TA, 88R0A07KF97G])",1053,"2 ([ST8000NM0055, ZA173SWF, TOSHIBA MQ01ABF050M, 177QT3EKT])",1013,"1 ([ST4000DM000, Z304KC50])",1034,"1 ([ST8000DM002, ZA11RWRL])",1054,"1 ([ST8000NM0055, ZA17ZNPY])",1039,"1 ([TOSHIBA HDWF180, Y76GK0LZFZ1D])",1044,"1 ([ST8000NM0055, ZA180R71])",1060,"1 ([HGST HUH721212ALE604, 5PHLAAND])",1120,"1 ([HGST HUH721212ALN604, 8HKTJULH])"
2023-04-18T00:00:00.000000,1033,"2 ([ST8000DM002, ZA11PNQK, ST8000DM002, ZA126JN9])",1113,"2 ([HGST HUH721212ALN604, 8HJXYLKH, HGST HUH721212ALN604, 8HK7Y1TH])",1118,"2 ([HGST HUH721212ALN604, AAG26V1H, HGST HUH721212ALN604, 8HKY66AH])",1131,"1 ([ST12000NM0008, ZHZ3KDRB])",1043,"1 ([HGST HUH728080ALE604, 2EHSADEX])",1096,"1 ([HGST HUH728080ALE600, VKGHNMYX])",1049,"1 ([HGST HMS5C4040BLE640, PL1331LAHD0WGH])",1150,"1 ([WDC WUH721414ALE6L4, X1G956VL])",1124,"1 ([HGST HUH721212ALN604, AAHMR0AH])",1159,"1 ([TOSHIBA MG07ACA14TA, 70H0A008F97G])"
2023-04-19T00:00:00.000000,1091,"2 ([ST8000NM0055, ZA180Z52, ST8000NM0055, ZA1814C0])",1102,"1 ([ST12000NM0008, ZL0051K0])",1042,"1 ([ST8000NM0055, ZA13X80G])",1038,"1 ([ST8000DM002, ZA13YP33])",1131,"1 ([ST12000NM0008, ZHZ45JM8])",1039,"1 ([ST8000NM0055, ZA16DSTD])",1106,"1 ([TOSHIBA MG07ACA14TA, 70E0A1DEF97G])",1145,"1 ([HGST HUH721212ALE604, 8HH60W4H])",1052,"1 ([HGST HMS5C4040BLE640, PL2331LAHDG2DJ])",1137,"1 ([ST12000NM0008, ZHZ65741])"
2023-04-20T00:00:00.000000,1113,"2 ([HGST HUH721212ALN604, 8HJY395H, HGST HUH721212ALN604, 8HKHPJGH])",1132,"2 ([ST12000NM0008, ZHZ3NALE, ST12000NM0008, ZHZ3KD5C])",1064,"1 ([ST12000NM0008, ZHZ3W4Y8])",1158,"1 ([WDC WUH721414ALE6L4, X0GG5HWC])",1125,"1 ([HGST HUH721212ALN604, AAHEHPJH])",1053,"1 ([ST8000NM0055, ZA175225])",1120,"1 ([HGST HUH721212ALN604, AAG6HZ5H])",1106,"1 ([TOSHIBA MG07ACA14TA, 70F0A0SRF97G])",1123,"1 ([HGST HUH721212ALN604, AAG305ZH])",1098,"1 ([ST12000NM0008, ZL0052SL])"
2023-04-21T00:00:00.000000,1127,"2 ([HGST HUH721212ALN604, 2AGMLTMY, HGST HUH721212ALN604, 2AGMJP0Y])",1033,"1 ([ST8000DM002, ZA12KYYX])",1050,"1 ([HGST HMS5C4040BLE640, PL2331LAHDGHPJ])",1060,"1 ([HGST HUH721212ALE604, 5PHHNSAF])",1056,"1 ([HGST HUH721212ALE604, 5PHPV84D])",1022,"1 ([ST4000DM000, Z305D6GT])",1054,"1 ([ST8000NM0055, ZA1651HF])",1014,"1 ([ST4000DM000, S301PQ41])",1053,"1 ([ST8000NM0055, ZA170V1G])",2014,"1 ([WDC WUH721816ALE6L4, 2CKEUJ3N])"
2023-04-22T00:00:00.000000,1093,"1 ([ST10000NM0086, ZA21AE4R])",1022,"1 ([ST4000DM000, Z305D2TK])",1039,"1 ([ST8000NM0055, ZA16CM3P])",1094,"1 ([TOSHIBA MG07ACA14TA, 1060A021F97G])",1123,"1 ([HGST HUH721212ALN604, AAG61W4H])",1053,"1 ([ST8000NM0055, ZA171QYW])",1011,"1 ([ST4000DM000, Z304L944])",0,,0,,0,
